species_B;species_A;rep
DA_B1;DA_A2;4-17
DA_B1;DA_A3;18
DA_B1;DA_A7;7
DA_B1;a11;4
DA_B1;a15;6-17-21
DA_B1;a16;4-6-7-12-17-18-21
DA_B1;a2;18
DA_B1;a4;6-7-12-17-18-21
DA_B1;a5;4-18
DA_B1;a7;4-17-18
DA_B1-DA_B2;DA_A1;16
DA_B1-DA_B2;DA_A3;16
DA_B1-DA_B2;DA_A4;16-24
DA_B1-DA_B2;a1;16
DA_B1-DA_B2;a11;16
DA_B1-DA_B2;a14;16
DA_B1-DA_B2;a15;16
DA_B1-DA_B2;a16;24
DA_B1-DA_B2;a3;16
DA_B1-DA_B2;a4;16-24
DA_B1-DA_B2;a6;16
DA_B1-DA_B2;a8;16
DA_B10;DA_A2;4-17
DA_B10;a1;21
DA_B10;a11;4-17
DA_B10;a12;17
DA_B10;a15;4-9-16-17-21
DA_B10;a16;9-15-16-17-21
DA_B10;a4;9-16-17-21
DA_B10;a5;16-17
DA_B10;a6;15-21
DA_B10;a7;4-16-17
DA_B10-DA_B11;a12;24
DA_B10-DA_B11;a16;24
DA_B10-DA_B11;a2;24
DA_B10-DA_B11;a6;24
DA_B11;a1;9-20
DA_B11;a11;11
DA_B11;a12;11
DA_B11;a14;11
DA_B11;a15;9-11
DA_B11;a16;2-9-11
DA_B11;a2;11
DA_B11;a4;2-9
DA_B12;DA_A2;8
DA_B12;DA_A3-DA_A4;8
DA_B12;DA_A5;8
DA_B12;a12;8
DA_B12;a15;8
DA_B12;a16;8
DA_B12;a2;8
DA_B12;a4;8
DA_B12;a5;8
DA_B12;a7;8
DA_B13;DA_A1;23
DA_B13;DA_A2;23
DA_B13;a12;22
DA_B13;a15;22
DA_B13;a16;22-23
DA_B13;a4;22-23
DA_B13;a5;22
DA_B13;a7;22-23
DA_B14;DA_A2;14
DA_B14;a16;14
DA_B14;a4;14
DA_B14;a6;14
DA_B16;a12;16-24
DA_B16;a16;16-24
DA_B16;a2;16-24
DA_B16;a5;24
DA_B16;a7;24
DA_B2;DA_A2;10-13-15
DA_B2;DA_A3;13-19
DA_B2;a1;4-10-13
DA_B2;a11;19
DA_B2;a12;5-15-19-22
DA_B2;a15;5-19-22
DA_B2;a16;4-5-10-13-14-15-19-22
DA_B2;a2;22
DA_B2;a3;4-10-13
DA_B2;a4;4-14-15-22
DA_B2;a5;5-22
DA_B2;a6;4-10-13
DA_B2;a7;19-22
DA_B2;a8;4-10-13
DA_B2;a9;13
DA_B2-DA_B3;DA_A3;17
DA_B2-DA_B3;a1;2-17
DA_B2-DA_B3;a12;2
DA_B2-DA_B3;a16;2-17
DA_B2-DA_B3;a3;2-17
DA_B2-DA_B3;a4;2-17
DA_B2-DA_B3;a6;2-17
DA_B2-DA_B3;a8;2-17
DA_B3;DA_A2;14
DA_B3;DA_A3;19
DA_B3;a12;19
DA_B3;a15;14-16
DA_B3;a16;14-16-19-20
DA_B3;a4;14-16-19-20
DA_B4;DA_A1;6-18
DA_B4;DA_A2;8
DA_B4;DA_A3;18
DA_B4;DA_A4;7-21
DA_B4;a1;6-12-22
DA_B4;a11;18
DA_B4;a12;7-8-18-21
DA_B4;a14;18
DA_B4;a15;16-21
DA_B4;a16;6-7-8-12-14-18-21-22
DA_B4;a2;6-18
DA_B4;a3;6-12-22
DA_B4;a4;7-14-16-21
DA_B4;a5;21
DA_B4;a6;6-7-18-22
DA_B4;a7;21
DA_B4;a8;6-12-18-22
DA_B5;DA_A1;18
DA_B5;DA_A3;18
DA_B5;DA_A4;21
DA_B5;a1;4-23
DA_B5;a11;18-21
DA_B5;a12;18-21
DA_B5;a14;18
DA_B5;a15;21
DA_B5;a16;4-18-21-23-25
DA_B5;a2;18-23
DA_B5;a3;4-23
DA_B5;a4;18-25
DA_B5;a5;21-23-25
DA_B5;a6;4-23
DA_B5;a7;21-23-25
DA_B5;a8;4-23
DA_B5-DA_B6;a15;16
DA_B5-DA_B6;a16;16
DA_B5-DA_B6;a4;16
DA_B5-DA_B6;a5;16
DA_B5-DA_B6;a7;16
DA_B6;DA_A2;13
DA_B6;DA_A4;21-24
DA_B6;a1;24
DA_B6;a11;21
DA_B6;a12;13-21
DA_B6;a15;13-21
DA_B6;a16;13-21
DA_B6;a4;13-24
DA_B6;a5;21
DA_B6;a6;13
DA_B6;a7;21
DA_B6;a8;13
DA_B6-DA_B7;a1;23
DA_B6-DA_B7;a16;10-23
DA_B6-DA_B7;a3;23
DA_B6-DA_B7;a4;10
DA_B6-DA_B7;a6;23
DA_B6-DA_B7;a8;23
DA_B7;DA_A4;21-24
DA_B7;a1;2
DA_B7;a11;21
DA_B7;a12;2-21
DA_B7;a15;2-21
DA_B7;a16;2-4-21-25
DA_B7;a4;24-25
DA_B7;a5;21
DA_B7;a7;21
DA_B8;DA_A2;8
DA_B8;DA_A3-DA_A4;8
DA_B8;DA_A5;8
DA_B8;a11;8
DA_B8;a12;2-8
DA_B8;a15;2-8
DA_B8;a16;2-8-11-15
DA_B8;a2;8
DA_B8;a5;8
DA_B8;a7;8
DA_B8-DA_B9;a1;4
DA_B8-DA_B9;a12;4
DA_B8-DA_B9;a15;4
DA_B8-DA_B9;a16;4
DA_B8-DA_B9;a4;4
DA_B8-DA_B9;a5;4
DA_B8-DA_B9;a8;4
DA_B9;DA_A2;8
DA_B9;DA_A3;18
DA_B9;DA_A3-DA_A4;8
DA_B9;DA_A5;8
DA_B9;DA_A6;7
DA_B9;a1;7
DA_B9;a11;8-11
DA_B9;a12;2-7-8-11
DA_B9;a15;2-7-8-11
DA_B9;a16;2-7-8-11-18-24
DA_B9;a2;8
DA_B9;a3;7
DA_B9;a4;11-18
DA_B9;a5;8
DA_B9;a7;8-11
DA_B9;a8;7
b1;DA_A1;20-23
b1;DA_A2;4-8-14-15-17-23
b1;DA_A3;18-19
b1;DA_A4;24
b1;DA_A5;8
b1;DA_A6;7
b1;DA_A7;7
b1;a1;13
b1;a11;17
b1;a12;17-22
b1;a15;9-12-13-17
b1;a16;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-25
b1;a2;19-20-22-23
b1;a4;1-2-3-4-5-6-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b1;a5;7-13-17-19
b1;a6;21
b1;a7;4-7-8-13-15-17-19
b10;DA_A1;3
b10;DA_A2;8-15-17
b10;DA_A3;3-16-18-19-23
b10;DA_A3-DA_A4;8
b10;DA_A4;7
b10;DA_A5;8
b10;a11;3-8
b10;a12;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b10;a15;1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25
b10;a16;1-2-3-5-6-7-8-11-13-14-15-16-18-19-20-21-22-23-25
b10;a2;2-3-7-10-11-12-14-15-16-17-19-20-21-22-23
b10;a4;2-3-6-7-9-12-13-14-15-16-18-25
b10;a5;4-10-12-17-22-24
b10;a7;3-4-5-8-9-10-12-16-17-22-23-25
b13-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A1;8-23
b13-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A2;4-8-10-14-15-17-23
b13-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A3;3-18-19
b13-b15-b16-b17-b18-b19-b20-b21-b22-b23;DA_A3-DA_A4;8
